car_name,Encoded_value
BMW 2 Series,42
Tata Altroz XTA,804
Skoda Slavia 1.5,789
Volvo XC40 B4,989
Jaguar XJ 2.0L,340
Honda Mobilio S,231
Ford Fiesta 1.6,153
Skoda Superb LK,795
Tata Indica Terra,826
Mahindra Marazzo M8,414
Mahindra Bolero SLE,402
Maruti S-Presso VXi,574
Volkswagen Vento 1.2,969
Volkswagen Jetta 1.4,947
Tata Harrier XZA,813
Honda Jazz V,225
Ford Fiesta 1.5,152
BMW X1 M,47
MG Gloster Sharp,383
Mahindra Bolero ZLX,406
Renault Scala RxL,756
Toyota Yaris VX,940
Mercedes-Benz E-Class E200,637
Maruti Grand Vitara,544
Hyundai EON Sportz,261
Honda Civic ZX,218
Skoda Octavia Style,782
Maruti Ignis Zeta,551
Volvo XC60 D5,995
Kia Seltos Anniversary,358
Mercedes-Benz GLC Progressive,658
Audi A4 New,9
Mahindra Scorpio S6,436
Mercedes-Benz E-Class E350,639
Mahindra Scorpio 2.6,422
Honda Brio 1.2,185
Ford Ecosport Thunder,141
Honda Jazz X,227
Skoda Superb Style,798
Mercedes-Benz GLA Class,651
Honda CR-V 2.0,191
Volkswagen Ameo 1.0,941
Volvo V40 D3,986
Porsche Macan S,721
Jaguar F-TYPE 3.0,330
Audi Q2 Premium,19
Audi Q7 3.0,33
Tata Harrier XT,810
Maruti Swift VVT,597
Hyundai Creta EX,253
Honda Jazz Select,224
MG Astor Savvy,376
Hyundai Getz GLX,273
Mahindra Scorpio Getaway,426
Tata Indica Quadrajet,823
Tata Indigo VX,839
Mahindra XUV700 AX7,469
Tata Tiago XZA,887
Maruti Eeco Cargo,530
Tata Altroz XM,802
Kia Seltos GTK,359
Jeep Compass Trailhawk,349
Tata Nano CX,849
MG Hector Super,391
Chevrolet Enjoy Petrol,77
Maruti Alto Green,487
Volkswagen Taigun 1.5,964
Nissan Micra XL,703
Mahindra Jeep MM,410
Hyundai Alcazar Signature,247
Maruti Ciaz Zeta,526
Ford Freestyle Titanium,167
Maruti Eeco Flexi,531
Volvo XC60 B5,992
Tata Tiago XTA,885
Nissan Kicks 1.5,692
Chevrolet Beat LS,69
Land Rover Freelander,372
Toyota Corolla H2,905
Mahindra Scorpio Intelli,427
Maruti Esteem Vxi,542
Force Gurkha 2.6,128
Mahindra Quanto C6,418
Mahindra Quanto C8,419
Hyundai Tucson 2.0,286
Hyundai Santro Era,278
Hyundai Getz GVS,274
Renault KWID CLIMBER,738
Tata Nexon XMA,864
Skoda Superb 2.5,792
Renault Kiger RXL,745
Hyundai Venue E,289
Nissan Teana XL,709
Mahindra Bolero mHAWK,407
Skoda Kodiaq 2.0,764
Volvo S60 D4,981
Kia Seltos HTE,361
Toyota Fortuner Legender,926
Porsche Cayenne Diesel,716
Skoda Octavia Elegance,779
Nissan Micra Diesel,701
Jaguar XF Aero,338
Tata Movus LX,847
Kia Carnival Premium,356
Hyundai Accent GLS,243
Volvo S60 T6,983
Mercedes-Benz E-Class Elegance,640
Mercedes-Benz C-Class 220,620
Maruti XL6 Zeta,607
Tata Tigor 1.05,888
Nissan Kicks 1.3,691
Maruti Ciaz RS,519
Fiat Linea T,119
Hyundai Xcent VTVT,306
Mini 5 DOOR,677
Datsun RediGO S,105
Renault Fluence E2,735
Tata Punch Kaziranga,871
Fiat Linea 1.4,114
Skoda Superb 1.8,790
Toyota Hyryder V,929
Mitsubishi Cedia Sports,684
Nissan Kicks Diesel,693
Tata Indica DLS,821
Tata Nexon XE,862
Audi Q7 4.2,35
Volkswagen Virtus Topline,978
Ford Mondeo Ghia,173
Volkswagen Polo Cup,956
Renault Duster RXS,732
Renault Duster 1.5,725
Chevrolet Sail 1.2,81
Datsun RediGO A,101
Hyundai i20 N,319
Tata Indigo eGLX,841
Maruti Ciaz AT,516
Tata Altroz XZA,806
Fiat Avventura Urban,111
Maruti A-Star Zxi,485
Nissan Micra CVT,700
Honda City SV,207
Maruti Celerio VXi,511
Maruti Swift ZDI,600
Audi Q5 45,31
Mini Cooper One,682
Mercedes-Benz S-Class 320,670
Volvo XC 90,988
Jaguar F-Pace Pure,329
Fiat Punto Pure,127
Tata Indica eLX,828
Honda Jazz ZX,228
Mercedes-Benz C-Class 250,622
Tata Indica TDI,825
Fiat Avventura MULTIJET,109
Tata Nano XTA,856
Skoda Octavia RS245,781
Volkswagen Tiguan 2.0,965
Audi A8 55,17
Skoda Kodiaq Sportline,765
Volkswagen Virtus GT,976
Isuzu MU-X 4X2,327
Renault Koleos 2.0,748
Hyundai Sonata CRDi,285
Hyundai Getz 1.1,269
Maruti Ertiga CNG,534
Maruti Zen VXI,611
Fiat Linea Active,115
Ford Figo 1.5P,161
Mercedes-Benz C-Class C250,624
Ford Aspire Titanium,133
Chevrolet Tavera LT-L,90
Honda BR-V Style,182
Tata Indigo VS,838
Maruti Brezza Zxi,506
Maruti Ritz Genus,561
Volkswagen Passat Diesel,952
Ford Ecosport SE,138
Chevrolet Optra 1.8,80
Skoda Fabia 1.6,763
Maruti Ritz LXI,563
Skoda Kushaq 1.5,767
Skoda Octavia 2.0,775
BMW iX xDrive40,63
Toyota Corolla H3,906
Maruti Omni MPI,559
Hyundai i10 Magna(O),310
Audi Q3 Technology,25
Maruti SX4 Green,576
Maruti Swift DDiS,587
Hyundai Sonata 2.4,284
Volkswagen Polo IPL,960
Renault KWID RXE,740
Volkswagen Virtus Highline,977
Mahindra Xylo E4,473
Maruti Ertiga 1.5,532
Mahindra Scorpio EX,425
Tata Manza ELAN,846
Tata Nano CNG,848
Tata Nano XT,855
Maruti Ertiga VXi,539
Tata Nano XE,854
Ford Endeavour 3.0L,146
Volvo V40 Cross,985
Porsche Cayenne S,718
Jaguar XK R,344
Fiat Linea Classic,116
Ford Figo 1.5,159
Renault Pulse RxL,753
Force One EX,129
Maruti 800 DX,480
Fiat Linea Dynamic,117
Hindustan Motors Contessa,175
Hyundai Accent CRDi,240
Tata Tigor XMA,892
Tata Tiago JTP,879
Tata Yodha Pickup,897
Tata Indigo Marina,836
Honda City Hybrid,205
Chevrolet Captiva 2.2,72
Renault KWID CAPTAIN,737
Toyota Qualis FS,933
Skoda Laura Elegance,772
Skoda Octavia Classic,778
Jaguar XF 3.0,337
Tata Indica GLX,822
Mahindra Xylo D4,472
Ford Freestyle Flair,166
Toyota Qualis RS,935
Maruti Alto STD,492
Volkswagen Jetta 2.0,949
Hyundai Santro GS,279
Maruti Alto LXI,490
BMW 1 Series,41
Volvo XC60 D3,993
Toyota Qualis GS,934
Volvo S60 D5,982
Mercedes-Benz C-Class Coupe,625
Mercedes-Benz EQC 400,643
Volvo S60 D3,980
Chevrolet Enjoy TCDi,78
Datsun RediGO D,103
Mahindra e2o T2,478
Skoda Laura 2.0,770
Maruti Gypsy King,545
Skoda Rapid Monte,786
Volvo XC60 D4,994
Honda Mobilio E,229
Tata Tiago XM,883
Jaguar XE 2.0L,331
Ford Fiesta EXi,156
Mahindra Scorpio S9,439
BMW X5 3.0d,59
Volkswagen Vento New,974
Fiat Abarth Avventura,108
Skoda Octavia Ambiente,776
Renault Duster RXL,731
Nissan Kicks XL,694
Datsun GO Anniversary,96
Skoda Octavia 1.4,773
Maruti Brezza Lxi,503
Isuzu D-Max High,323
Honda CR-V MT,196
Maruti Ertiga Tour,536
Isuzu D-Max V-Cross,324
Maruti Celerio Green,507
Maruti Swift RS,593
Fiat Linea 1.3,113
Honda CR-V Diesel,195
Ford Ikon 1.3,170
Mercedes-Benz E-Class 220,633
Honda Civic Hybrid,216
Jaguar XF S,339
Toyota Fortuner 2.7,919
Tata Hexa XE,814
Porsche Panamera Diesel,722
Volkswagen Touareg V6,967
Mahindra Scorpio S4,434
Toyota Etios 1.5,909
Volvo XC40 T4,991
Tata Xenon XT,896
Mahindra Scorpio Classic,423
Tata Harrier Camo,809
Hyundai Elantra SX,266
Maruti Omni 5,553
OpelCorsa 1.4Gsi,713
Mini Cooper Countryman,680
MG Hector 1.5,384
Honda Civic VX,217
Ford Aspire Ambiente,132
Chevrolet Tavera Neo,91
Mahindra e2o Plus,477
OpelCorsa 1.6 GSi,714
Mitsubishi Lancer GLXD,686
Volkswagen T-Roc TSI,962
Skoda Superb 3.6,793
Maruti Omni CNG,555
Jaguar XJ 5.0L,342
Renault Duster 4x4,727
Skoda Fabia 1.4,762
Tata Sumo CX,874
Ford Mondeo Duratec,172
Hyundai Accent GLX,244
BMW X3 2.0d,53
Fiat Palio 1.1,121
Mahindra Bolero Plus,400
Maruti Alto XCITE,494
Daewoo Matiz SD,94
Chevrolet Spark Muzic,86
Maruti SX4 Celebration,575
Mahindra Verito 1.5,451
Kia Sonet Diesel,366
Mahindra Jeep CJ,409
Fiat Linea Emotion,118
Audi Q5 3.0,27
Ford Ecosport Signature,139
Mini Cooper Convertible,679
Jaguar XE Portfolio,332
Audi A6 2.7,13
Mercedes-Benz GLE 350d,661
Maruti S-Presso LXI,572
Maruti Ciaz VDI,521
Datsun RediGO Sport,106
Mercedes-Benz GLA 200,648
Nissan Sunny XV,708
Mini Cooper 1.6,678
Ford Fusion 1.6,169
Chevrolet Tavera LS,89
Chevrolet Enjoy 1.4,76
Maruti Brezza Vxi,505
Tata Indica Safire,824
Volvo V90 Cross,987
Mahindra Scorpio VLS,441
MG Astor Style,379
Datsun GO A,95
Maruti Versa DX2,603
Honda Mobilio RS,230
Audi S5 Sportback,39
Volkswagen Beetle 2.0,944
Mahindra Xylo H8,476
Mahindra Scorpio S8,438
Mercedes-Benz C-Class Prime,626
Toyota Corolla H4,907
Mahindra XUV500 1.99,456
Ford Endeavour 4x4,148
Maruti Swift Lxi,592
Hyundai Verna Xi,301
Honda WR-V Alive,234
Jeep Compass 2.0L,347
Jaguar XE SE,334
Mercedes-Benz C-Class 200,619
Mercedes-Benz C-Class 230,621
Tata Indigo GLS,832
Hyundai Verna Anniversary,294
Mahindra XUV700 MX,470
Chevrolet Cruze LT,73
Mahindra Thar DI,449
Audi A3 40,2
Mahindra Verito Executive,452
Tata Indigo eGLS,840
Honda Jazz Basic,222
Hyundai Verna E,296
Audi Q2 Technology,21
Volkswagen Polo Highline,959
Jeep Wrangler Unlimited,352
Skoda Superb Sportline,797
Mercedes-Benz GLC 220,654
Jaguar XE Prestige,333
Mercedes-Benz GLA 4MATIC,650
Volkswagen GTI 1.8,946
Mahindra XUV500 Xclusive,467
Isuzu MU-X 4WD,326
Mercedes-Benz SLK-Class 55,673
Jeep Meridian Limited,350
Renault Kiger RXE,744
Honda City CNG,199
Mercedes-Benz E-Class 280,634
Renault Duster Adventure,729
Nissan Micra XE,702
Mahindra NuvoSport N6,415
Mercedes-Benz V-Class Exclusive,675
Mitsubishi Cedia Select,683
Mercedes-Benz S-Class Maybach,671
